"date","location","channel","count of orders","average click to ship","average ship to porch"
"2023-05-01 00:00:00","Stord LAS","Specialty",12,13.8333,2.3645
"2023-05-01 00:00:00","Stord ATL","Goodr.com",1600,1.4270,4.6604
"2023-05-01 00:00:00","Stord LAS","Goodr.com",395,0.9822,5.0957
"2023-05-01 00:00:00","Stord ATL","Specialty",37,8.7916,2.3547
"2023-05-02 00:00:00","Stord LAS","Specialty",8,19.8333,3.0572
"2023-05-02 00:00:00","Stord ATL","Goodr.com",1245,1.6529,5.1441
"2023-05-02 00:00:00","Stord LAS","Goodr.com",391,0.6148,5.6185
"2023-05-02 00:00:00","Stord ATL","Specialty",37,9.9098,4.0067
"2023-05-03 00:00:00","Stord ATL","Specialty",173,9.7776,4.8063
"2023-05-03 00:00:00","Stord ATL","Goodr.com",1140,1.4875,5.3260
"2023-05-03 00:00:00","Stord LAS","Specialty",17,17.4215,4.6176
"2023-05-03 00:00:00","Stord LAS","Goodr.com",774,0.6105,5.6292
"2023-05-04 00:00:00","Stord ATL","Goodr.com",1122,1.6782,6.0986
"2023-05-04 00:00:00","Stord ATL","Specialty",67,5.4334,4.0254
"2023-05-04 00:00:00","Stord LAS","Goodr.com",686,0.4827,5.6679
"2023-05-04 00:00:00","Stord LAS","Specialty",4,0.2603,3.2708
"2023-05-05 00:00:00","Stord ATL","Goodr.com",1274,2.4373,5.1469
"2023-05-05 00:00:00","Stord ATL","Specialty",68,4.0508,3.4411
"2023-05-05 00:00:00","Stord LAS","Goodr.com",786,1.3970,4.9621
"2023-05-05 00:00:00","Stord LAS","Specialty",16,1.8905,4.3385
"2023-05-06 00:00:00","Stord LAS","Goodr.com",884,1.9584,4.5686
"2023-05-06 00:00:00","Stord ATL","Goodr.com",1706,2.2044,4.7227
"2023-05-06 00:00:00","Stord ATL","Specialty",24,4.4131,3.1649
"2023-05-07 00:00:00","Stord ATL","Goodr.com",2843,1.9509,4.4977
"2023-05-07 00:00:00","Stord ATL","Specialty",52,5.8461,3.2347
"2023-05-07 00:00:00","Stord LAS","Goodr.com",1652,1.7194,5.1676
"2023-05-07 00:00:00","Stord LAS","Specialty",2,0.8333,1.0208
"2023-05-08 00:00:00","Stord ATL","Goodr.com",1759,2.4818,4.3567
"2023-05-08 00:00:00","Stord LAS","Specialty",12,5.2048,4.6110
"2023-05-08 00:00:00","Stord LAS","Goodr.com",1048,1.5769,5.4748
"2023-05-08 00:00:00","Stord ATL","Specialty",62,4.2365,1.9905
"2023-05-09 00:00:00","Stord ATL","Goodr.com",1409,1.8272,4.7639
"2023-05-09 00:00:00","Stord LAS","Goodr.com",939,1.0505,5.4532
"2023-05-09 00:00:00","Stord LAS","Specialty",32,8.6262,4.5585
"2023-05-09 00:00:00","Stord ATL","Specialty",50,4.6733,2.4974
"2023-05-10 00:00:00","Stord LAS","Goodr.com",1011,0.9665,5.1999
"2023-05-10 00:00:00","Stord ATL","Goodr.com",1511,1.5262,4.4846
"2023-05-10 00:00:00","Stord LAS","Specialty",61,3.7977,6.7226
"2023-05-10 00:00:00","Stord ATL","Specialty",141,7.3761,4.9955
"2023-05-11 00:00:00","Stord ATL","Goodr.com",1372,0.9982,5.0174
"2023-05-11 00:00:00","Stord ATL","Specialty",62,8.7855,2.6007
"2023-05-11 00:00:00","Stord LAS","Goodr.com",848,0.6489,5.4515
"2023-05-11 00:00:00","Stord LAS","Specialty",33,6.8396,4.6540
"2023-05-12 00:00:00","Stord ATL","Goodr.com",1437,0.4849,5.9442
"2023-05-12 00:00:00","Stord ATL","Specialty",35,6.4023,4.8749
"2023-05-12 00:00:00","Stord LAS","Goodr.com",1004,1.2580,5.4649
"2023-05-12 00:00:00","Stord LAS","Specialty",49,5.7882,5.1734
"2023-05-13 00:00:00","Stord LAS","Goodr.com",1658,2.4492,4.3016
"2023-05-13 00:00:00","Stord ATL","Specialty",13,7.1538,3.0672
"2023-05-13 00:00:00","Stord ATL","Goodr.com",2256,0.7058,5.1993
"2023-05-13 00:00:00","Stord LAS","Specialty",15,7.6444,3.8666
"2023-05-14 00:00:00","Stord ATL","Goodr.com",2871,0.8948,4.2155
"2023-05-14 00:00:00","Stord LAS","Goodr.com",1916,2.3202,4.0349
"2023-05-14 00:00:00","Stord LAS","Specialty",18,9.1504,5.3356
"2023-05-14 00:00:00","Stord ATL","Specialty",24,5.3853,3.0954
"2023-05-15 00:00:00","Stord LAS","Goodr.com",925,2.0769,4.5002
"2023-05-15 00:00:00","Stord LAS","Specialty",65,7.8442,4.0685
"2023-05-15 00:00:00","Stord ATL","Goodr.com",1773,0.8509,3.7340
"2023-05-15 00:00:00","Stord ATL","Specialty",43,6.3139,2.6521
"2023-05-16 00:00:00","Stord ATL","Goodr.com",1571,0.6063,3.5055
"2023-05-16 00:00:00","Stord ATL","Specialty",79,4.9809,3.7926
"2023-05-16 00:00:00","Stord LAS","Goodr.com",768,2.1251,5.5547
"2023-05-16 00:00:00","Stord LAS","Specialty",53,6.8891,4.7358
"2023-05-17 00:00:00","Stord LAS","Specialty",81,3.6830,4.3919
"2023-05-17 00:00:00","Stord ATL","Specialty",136,5.8866,4.8955
"2023-05-17 00:00:00","Stord ATL","Goodr.com",1855,0.4991,4.3292
"2023-05-17 00:00:00","Stord LAS","Goodr.com",992,1.4438,5.7083
"2023-05-18 00:00:00","Stord LAS","Goodr.com",874,1.1214,5.9444
"2023-05-18 00:00:00","Stord LAS","Specialty",29,4.4669,3.7154
"2023-05-18 00:00:00","Stord ATL","Goodr.com",1525,0.7016,5.4037
"2023-05-18 00:00:00","Stord ATL","Specialty",69,8.4009,2.8955
"2023-05-19 00:00:00","Stord LAS","Goodr.com",952,2.2676,5.9457
"2023-05-19 00:00:00","Stord ATL","Specialty",68,7.6543,2.7199
"2023-05-19 00:00:00","Stord ATL","Goodr.com",2478,1.0313,6.1247
"2023-05-19 00:00:00","Stord LAS","Specialty",35,5.0380,3.9690
"2023-05-20 00:00:00","Stord ATL","Goodr.com",1703,0.7840,5.0268
"2023-05-20 00:00:00","Stord LAS","Goodr.com",1004,2.4255,5.5328
"2023-05-20 00:00:00","Stord LAS","Specialty",12,5.6110,3.2221
"2023-05-20 00:00:00","Stord ATL","Specialty",22,8.0814,2.7992
"2023-05-21 00:00:00","Stord ATL","Specialty",12,5.3333,4.7187
"2023-05-21 00:00:00","Stord ATL","Goodr.com",2331,0.6019,4.5408
"2023-05-21 00:00:00","Stord LAS","Goodr.com",1246,2.1343,6.0117
"2023-05-21 00:00:00","Stord LAS","Specialty",6,6.5833,4.2221
"2023-05-22 00:00:00","Stord ATL","Goodr.com",1924,0.3688,4.4782
"2023-05-22 00:00:00","Stord LAS","Goodr.com",1045,1.7600,5.9089
"2023-05-22 00:00:00","Stord ATL","Specialty",83,4.1686,3.1566
"2023-05-22 00:00:00","Stord LAS","Specialty",34,3.4975,4.4337
"2023-05-23 00:00:00","Stord LAS","Specialty",20,3.1457,4.3187
"2023-05-23 00:00:00","Stord ATL","Goodr.com",2175,0.3138,5.1233
"2023-05-23 00:00:00","Stord LAS","Goodr.com",1029,0.9572,5.7215
"2023-05-23 00:00:00","Stord ATL","Specialty",74,5.0951,2.9583
"2023-05-24 00:00:00","Stord LAS","Goodr.com",715,0.5572,5.4296
"2023-05-24 00:00:00","Stord ATL","Specialty",59,6.7160,3.5903
"2023-05-24 00:00:00","Stord ATL","Goodr.com",1781,0.4686,5.2818
"2023-05-24 00:00:00","Stord LAS","Specialty",10,1.3416,4.0000
"2023-05-25 00:00:00","Stord LAS","Specialty",17,3.3724,4.7989
"2023-05-25 00:00:00","Stord ATL","Goodr.com",1673,0.5135,5.2546
"2023-05-25 00:00:00","Stord ATL","Specialty",44,8.8531,3.0047
"2023-05-25 00:00:00","Stord LAS","Goodr.com",721,0.4899,5.5103
"2023-05-26 00:00:00","Stord LAS","Specialty",28,3.6934,3.6651
"2023-05-26 00:00:00","Stord LAS","Goodr.com",1846,1.6374,5.0220
"2023-05-26 00:00:00","Stord ATL","Goodr.com",4930,1.2309,4.9741
"2023-05-26 00:00:00","Stord ATL","Specialty",58,8.7269,2.9647
"2023-05-27 00:00:00","Stord ATL","Goodr.com",5416,1.8380,4.4107
"2023-05-27 00:00:00","Stord LAS","Goodr.com",1634,3.6514,3.7222
"2023-05-27 00:00:00","Stord LAS","Specialty",16,5.1379,3.7395
"2023-05-27 00:00:00","Stord ATL","Specialty",31,8.6989,2.2513
"2023-05-28 00:00:00","Stord ATL","Goodr.com",6842,2.7683,3.9615
"2023-05-28 00:00:00","Stord ATL","Specialty",18,8.8587,1.9583
"2023-05-28 00:00:00","Stord LAS","Goodr.com",1962,3.6278,3.9708
"2023-05-28 00:00:00","Stord LAS","Specialty",10,5.2874,4.6916
"2023-05-29 00:00:00","Stord LAS","Goodr.com",3290,3.4227,4.4778
"2023-05-29 00:00:00","Stord ATL","Goodr.com",11332,3.7437,4.3218
"2023-05-29 00:00:00","Stord LAS","Specialty",27,4.4089,3.6404
"2023-05-29 00:00:00","Stord ATL","Specialty",43,7.7945,1.9273
"2023-05-30 00:00:00","Stord ATL","Specialty",84,6.9156,2.4607
"2023-05-30 00:00:00","Stord LAS","Specialty",41,4.7265,3.4471
"2023-05-30 00:00:00","Stord ATL","Goodr.com",2053,3.7282,4.7588
"2023-05-30 00:00:00","Stord LAS","Goodr.com",615,2.9519,5.2767
"2023-05-31 00:00:00","Stord ATL","Goodr.com",1877,3.5159,4.0632
"2023-05-31 00:00:00","Stord LAS","Specialty",28,3.9880,3.1517
"2023-05-31 00:00:00","Stord LAS","Goodr.com",548,3.7858,4.0255
"2023-05-31 00:00:00","Stord ATL","Specialty",83,6.7554,1.5120
"2023-06-01 00:00:00","Stord ATL","Goodr.com",2218,2.1693,4.4448
"2023-06-01 00:00:00","Stord LAS","Specialty",25,2.9616,3.5549
"2023-06-01 00:00:00","Stord LAS","Goodr.com",669,3.3527,3.7283
"2023-06-01 00:00:00","Stord ATL","Specialty",74,4.9008,2.3383
"2023-06-02 00:00:00","Stord ATL","Goodr.com",2608,1.8610,3.7247
"2023-06-02 00:00:00","Stord LAS","Goodr.com",664,3.3836,2.6387
"2023-06-02 00:00:00","Stord ATL","Specialty",85,5.3200,0.9857
"2023-06-02 00:00:00","Stord LAS","Specialty",16,3.2734,2.9088
"2023-06-03 00:00:00","Stord ATL","Specialty",25,4.6282,0.4366
"2023-06-03 00:00:00","Stord LAS","Goodr.com",733,3.3761,1.4493
"2023-06-03 00:00:00","Stord ATL","Goodr.com",2665,1.1103,3.7379
"2023-06-03 00:00:00","Stord LAS","Specialty",12,3.0659,1.4930
"2023-06-04 00:00:00","Stord ATL","Goodr.com",2769,0.7741,3.0449
"2023-06-04 00:00:00","Stord ATL","Specialty",7,3.1071,1.3630
"2023-06-04 00:00:00","Stord LAS","Goodr.com",945,2.8143,1.0113
"2023-06-04 00:00:00","Stord LAS","Specialty",9,2.4536,1.7175
"2023-06-05 00:00:00","Stord ATL","Goodr.com",2531,0.3441,2.6939
"2023-06-05 00:00:00","Stord LAS","Specialty",22,1.7423,1.2613
"2023-06-05 00:00:00","Stord LAS","Goodr.com",823,2.4787,0.3831
"2023-06-05 00:00:00","Stord ATL","Specialty",36,1.6909,1.8390
"2023-06-06 00:00:00","Stord LAS","Goodr.com",478,1.7033,0.3378
"2023-06-06 00:00:00","Stord ATL","Goodr.com",2143,0.3296,1.9927
"2023-06-06 00:00:00","Stord ATL","Specialty",19,0.4692,2.2104
"2023-06-06 00:00:00","Stord LAS","Specialty",15,1.4471,0.7666
"2023-06-07 00:00:00","Stord ATL","Goodr.com",1993,0.2326,1.1598
"2023-06-07 00:00:00","Stord LAS","Goodr.com",257,1.4493,0.0236
"2023-06-07 00:00:00","Stord LAS","Specialty",28,1.1666,0.2678
"2023-06-07 00:00:00","Stord ATL","Specialty",14,0.2975,1.3184
"2023-06-08 00:00:00","Stord LAS","Goodr.com",174,0.6268,0.0114
"2023-06-08 00:00:00","Stord ATL","Goodr.com",1779,0.2826,0.2604
"2023-06-08 00:00:00","Stord ATL","Specialty",10,0.2666,0.0958
"2023-06-08 00:00:00","Stord LAS","Specialty",24,0.6371,0.0729
"2023-06-09 00:00:00","Stord LAS","Goodr.com",5,0.2416,0.0000
"2023-06-09 00:00:00","Stord ATL","Goodr.com",554,0.0498,0.0000
"2023-06-09 00:00:00","Stord ATL","Specialty",1,0.0416,0.0000
"2023-06-09 00:00:00","Stord LAS","Specialty",1,0.0416,0.0000
